,Country,gdp_coef,methane_coef,CO2_coef,population_coef,intercept,R2
48,Nigeria,2.7859242749771093e-11,-0.04078540844019525,2.4198590689361767e-08,-4.856442470489994e-09,28.696911441162666,0.5516905876195064
49,Norway,-2.8366472496382653e-11,-9.715107346528796,4.80162629888323e-07,-1.3054498695716515e-06,20.87292303288324,0.32861619382548224
50,Pakistan,-2.376836170989022e-10,0.31461300177700013,-1.550263823159022e-07,1.1017547547340069e-08,15.780782328654215,0.5908326821082914
51,Panama,-1.1463870177350238e-10,0.715727580638396,8.67738924234244e-07,-2.1306989075581667e-07,26.53612988270389,0.05296805487770817
52,Papua New Guinea,-2.3593539342693633e-10,0.03896256644374924,-1.6707622489262815e-07,1.5248960407287117e-07,24.198580265904315,0.18335808254331132
53,Peru,-1.476054849600795e-11,-0.015977180463450674,8.537914400573734e-08,-3.648935066502047e-08,21.325965108519508,0.128352143030393
54,Philippines,-1.5510808460873185e-11,-0.12929576072717694,2.893633513056984e-07,5.180222751486262e-09,27.05135995901776,0.38879257806381373
55,Portugal,2.572789507438969e-11,2.5271433433468973,-5.028848797141524e-07,7.914219466891147e-08,9.111677124034442,0.20853981383286468
56,Rwanda,1.3891461296292215e-10,-2.8106929893476993,-1.518259874630101e-05,2.540685888968303e-07,20.395535454396448,0.328792579073254
57,Senegal,-1.4163168870986228e-10,-0.09857182504772469,5.75206029610257e-07,7.51968380380907e-08,28.15388500187825,0.2496471938503969
58,Seychelles,-9.669908170658377e-09,185.08556640136896,-2.6779969457710717e-06,-9.054453901220155e-06,25.452353662501466,0.5599950949408052
59,Sierra Leone,1.778557718366863e-09,0.2563611338605829,-1.0734098384858433e-05,4.718943090931414e-08,26.57876631253152,0.28601205586014433
60,Singapore,-4.549035373330351e-11,1.996959314191568,8.008586784894956e-08,1.8953700215149908e-08,26.268931871225345,0.3664260373723308
61,South Africa,3.260436271063717e-11,-0.2056322230387176,-3.110049663078491e-08,-4.176952841617398e-08,22.326433279225125,0.10339943605485502
62,Spain,-2.150226151872583e-13,0.4995411357781467,-5.4431007351007725e-08,1.0036359226046397e-08,10.552724106404757,0.169453674635626
63,Sri Lanka,1.1572703042375354e-10,-0.11700175093575411,-4.5430646354470627e-07,-5.0722554845797745e-09,28.21135102942359,0.37738233194382687
64,Sudan,-1.4766261810138694e-10,0.055204831853969454,9.989194870777336e-07,-1.8277526574670353e-09,26.785375769417403,0.4944454330810433
65,Suriname,-2.9041236515340274e-10,3.948135266375268,-4.928870229562678e-06,-4.5716336709497414e-07,26.827049120179485,0.3298036975265337
66,Sweden,1.660208607344491e-11,0.7218134490513659,-1.5186975769308298e-06,-1.285730331772924e-06,20.058534467687732,0.22321165375937913
67,Thailand,1.9251780983132846e-11,-0.06845285323004263,2.4253692131129595e-08,3.6761113127567285e-08,25.046188887713576,0.24580914429732614
68,Togo,-1.0378830181558684e-09,1.7324702682561148,1.2427142466152506e-06,2.6813465059615223e-09,26.246336104963643,0.6323344657322755
69,Turkey,6.556169196237102e-12,-0.14301145509661856,4.1392820606814854e-08,3.114464396771458e-08,11.043667095021453,0.3209861823537661
70,Uganda,-1.0678604619542662e-11,0.2029530619988314,-2.3711901380969534e-06,1.3317557904148359e-08,22.745137945743934,0.45224557775305074
71,United Kingdom,7.275987291003062e-12,0.021571067810028155,-3.7177273714219055e-08,-1.354827095142613e-07,17.286504255940848,0.3066695858178591
72,United States,-1.6987183852869503e-12,-0.05863303899879416,-7.650681669570596e-09,1.8046109988506358e-09,25.963244799379552,0.4125829847072672
73,Uruguay,-2.413841447251839e-10,-0.09507958245055313,1.8074183913204696e-06,8.024843258038634e-07,15.395966641283987,0.15883277293986486
74,Zambia,-6.924983495006353e-10,0.553649566829675,-2.341546967890239e-06,8.908941608076484e-08,19.331725576430564,0.3438205387752513
75,Zimbabwe,-3.130932427677299e-10,-0.3987461760733047,1.3761977147889855e-08,-9.663750973357353e-08,24.180534844980397,0.24227335720312804
